Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
1,out,in,5.65,5.65,-9.95
2,out,in,3.75,9.40,-6.20
3,out,in,0.85,10.25,-5.35
4,out,in,0.95,11.20,-4.40
