in x 4,,,,in x 0,,,,in x 3,,,,in x 2,,,,in x 1,,,,out x 4,,,,out x 0,,,,out x 3,,,,out x 2,,,,out x 1,,,
True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
0,13,6,43,5,56,1,0,1,52,5,4,0,52,6,4,0,51,6,5,43,6,13,0,0,1,56,5,4,5,52,1,4,6,52,0,5,6,51,0
1,13,6,42,5,55,2,0,1,51,6,4,0,51,7,4,0,50,7,5,42,6,13,1,0,2,55,5,4,6,51,1,4,7,51,0,5,7,50,0
2,13,6,41,5,54,3,0,1,50,7,4,0,50,8,4,0,49,8,5,41,6,13,2,0,3,54,5,4,7,50,1,4,8,50,0,5,8,49,0
3,13,6,40,5,53,4,0,1,49,8,4,0,49,9,4,0,48,9,5,40,6,13,3,0,4,53,5,4,8,49,1,4,9,49,0,5,9,48,0
3,12,7,40,5,52,5,0,2,49,8,3,0,48,10,4,0,47,10,5,40,7,12,3,0,5,52,5,3,8,49,2,4,10,48,0,5,10,47,0
4,12,7,39,5,51,6,0,2,48,9,3,0,47,11,4,0,46,11,5,39,7,12,4,0,6,51,5,3,9,48,2,4,11,47,0,5,11,46,0
5,12,7,38,5,50,7,0,2,47,10,3,0,46,12,4,0,45,12,5,38,7,12,5,0,7,50,5,3,10,47,2,4,12,46,0,5,12,45,0
6,12,7,37,5,49,8,0,2,46,11,3,0,45,13,4,0,44,13,5,37,7,12,6,0,8,49,5,3,11,46,2,4,13,45,0,5,13,44,0
7,12,7,36,5,48,9,0,2,45,12,3,0,44,14,4,0,43,14,5,36,7,12,7,0,9,48,5,3,12,45,2,4,14,44,0,5,14,43,0
8,12,7,35,5,47,10,0,2,44,13,3,0,43,15,4,0,42,15,5,35,7,12,8,0,10,47,5,3,13,44,2,4,15,43,0,5,15,42,0
9,12,7,34,5,46,11,0,2,43,14,3,0,42,16,4,0,41,16,5,34,7,12,9,0,11,46,5,3,14,43,2,4,16,42,0,5,16,41,0
10,12,7,33,5,45,12,0,2,42,15,3,0,41,17,4,0,40,17,5,33,7,12,10,0,12,45,5,3,15,42,2,4,17,41,0,5,17,40,0
11,12,7,32,5,44,13,0,2,41,16,3,0,40,18,4,0,39,18,5,32,7,12,11,0,13,44,5,3,16,41,2,4,18,40,0,5,18,39,0
12,12,7,31,5,43,14,0,2,40,17,3,0,39,19,4,0,38,19,5,31,7,12,12,0,14,43,5,3,17,40,2,4,19,39,0,5,19,38,0
12,11,8,31,5,42,15,0,3,40,17,2,0,38,20,4,0,37,20,5,31,8,11,12,0,15,42,5,2,17,40,3,4,20,38,0,5,20,37,0
13,11,8,30,5,41,16,0,3,39,18,2,0,37,21,4,0,36,21,5,30,8,11,13,0,16,41,5,2,18,39,3,4,21,37,0,5,21,36,0
14,11,8,29,5,40,17,0,3,38,19,2,0,36,22,4,0,35,22,5,29,8,11,14,0,17,40,5,2,19,38,3,4,22,36,0,5,22,35,0
15,11,8,28,5,39,18,0,3,37,20,2,0,35,23,4,0,34,23,5,28,8,11,15,0,18,39,5,2,20,37,3,4,23,35,0,5,23,34,0
16,11,8,27,5,38,19,0,3,36,21,2,0,34,24,4,0,33,24,5,27,8,11,16,0,19,38,5,2,21,36,3,4,24,34,0,5,24,33,0
17,11,8,26,5,37,20,0,3,35,22,2,0,33,25,4,0,32,25,5,26,8,11,17,0,20,37,5,2,22,35,3,4,25,33,0,5,25,32,0
18,11,8,25,5,36,21,0,3,34,23,2,0,32,26,4,0,31,26,5,25,8,11,18,0,21,36,5,2,23,34,3,4,26,32,0,5,26,31,0
19,11,8,24,5,35,22,0,3,33,24,2,0,31,27,4,0,30,27,5,24,8,11,19,0,22,35,5,2,24,33,3,4,27,31,0,5,27,30,0
20,11,8,23,5,34,23,0,3,32,25,2,0,30,28,4,0,29,28,5,23,8,11,20,0,23,34,5,2,25,32,3,4,28,30,0,5,28,29,0
21,11,8,22,5,33,24,0,3,31,26,2,0,29,29,4,0,28,29,5,22,8,11,21,0,24,33,5,2,26,31,3,4,29,29,0,5,29,28,0
22,11,8,21,5,32,25,0,3,30,27,2,0,28,30,4,0,27,30,5,21,8,11,22,0,25,32,5,2,27,30,3,4,30,28,0,5,30,27,0
22,12,7,21,4,32,25,1,3,31,26,2,0,29,29,4,0,28,29,5,21,7,12,22,1,25,32,4,2,26,31,3,4,29,29,0,5,29,28,0
23,12,7,20,4,31,26,1,3,30,27,2,0,28,30,4,0,27,30,5,20,7,12,23,1,26,31,4,2,27,30,3,4,30,28,0,5,30,27,0
