in x 4,,,,in x 0,,,,in x 3,,,,in x 2,,,,in x 1,,,,out x 4,,,,out x 0,,,,out x 3,,,,out x 2,,,,out x 1,,,
True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
1,14,5,42,0,51,6,5,5,56,1,0,0,52,6,4,0,51,6,5,42,5,14,1,5,6,51,0,0,1,56,5,4,6,52,0,5,6,51,0
1,13,6,42,1,51,6,4,5,55,2,0,0,51,7,4,0,50,7,5,42,6,13,1,4,6,51,1,0,2,55,5,4,7,51,0,5,7,50,0
1,12,7,42,2,51,6,3,5,54,3,0,0,50,8,4,0,49,8,5,42,7,12,1,3,6,51,2,0,3,54,5,4,8,50,0,5,8,49,0
1,11,8,42,3,51,6,2,5,53,4,0,0,49,9,4,0,48,9,5,42,8,11,1,2,6,51,3,0,4,53,5,4,9,49,0,5,9,48,0
1,10,9,42,4,51,6,1,5,52,5,0,0,48,10,4,0,47,10,5,42,9,10,1,1,6,51,4,0,5,52,5,4,10,48,0,5,10,47,0
2,10,9,41,4,50,7,1,5,51,6,0,0,47,11,4,0,46,11,5,41,9,10,2,1,7,50,4,0,6,51,5,4,11,47,0,5,11,46,0
3,10,9,40,4,49,8,1,5,50,7,0,0,46,12,4,0,45,12,5,40,9,10,3,1,8,49,4,0,7,50,5,4,12,46,0,5,12,45,0
3,9,10,40,4,48,9,1,5,49,8,0,1,46,12,3,0,44,13,5,40,10,9,3,1,9,48,4,0,8,49,5,3,12,46,1,5,13,44,0
3,8,11,40,4,47,10,1,5,48,9,0,2,46,12,2,0,43,14,5,40,11,8,3,1,10,47,4,0,9,48,5,2,12,46,2,5,14,43,0
3,7,12,40,4,46,11,1,5,47,10,0,3,46,12,1,0,42,15,5,40,12,7,3,1,11,46,4,0,10,47,5,1,12,46,3,5,15,42,0
4,7,12,39,4,45,12,1,5,46,11,0,3,45,13,1,0,41,16,5,39,12,7,4,1,12,45,4,0,11,46,5,1,13,45,3,5,16,41,0
5,7,12,38,4,44,13,1,5,45,12,0,3,44,14,1,0,40,17,5,38,12,7,5,1,13,44,4,0,12,45,5,1,14,44,3,5,17,40,0
6,7,12,37,4,43,14,1,5,44,13,0,3,43,15,1,0,39,18,5,37,12,7,6,1,14,43,4,0,13,44,5,1,15,43,3,5,18,39,0
7,7,12,36,4,42,15,1,5,43,14,0,3,42,16,1,0,38,19,5,36,12,7,7,1,15,42,4,0,14,43,5,1,16,42,3,5,19,38,0
8,7,12,35,4,41,16,1,5,42,15,0,3,41,17,1,0,37,20,5,35,12,7,8,1,16,41,4,0,15,42,5,1,17,41,3,5,20,37,0
9,7,12,34,4,40,17,1,5,41,16,0,3,40,18,1,0,36,21,5,34,12,7,9,1,17,40,4,0,16,41,5,1,18,40,3,5,21,36,0
10,7,12,33,4,39,18,1,5,40,17,0,3,39,19,1,0,35,22,5,33,12,7,10,1,18,39,4,0,17,40,5,1,19,39,3,5,22,35,0
11,7,12,32,4,38,19,1,5,39,18,0,3,38,20,1,0,34,23,5,32,12,7,11,1,19,38,4,0,18,39,5,1,20,38,3,5,23,34,0
12,7,12,31,4,37,20,1,5,38,19,0,3,37,21,1,0,33,24,5,31,12,7,12,1,20,37,4,0,19,38,5,1,21,37,3,5,24,33,0
13,7,12,30,4,36,21,1,5,37,20,0,3,36,22,1,0,32,25,5,30,12,7,13,1,21,36,4,0,20,37,5,1,22,36,3,5,25,32,0
14,7,12,29,4,35,22,1,5,36,21,0,3,35,23,1,0,31,26,5,29,12,7,14,1,22,35,4,0,21,36,5,1,23,35,3,5,26,31,0
15,7,12,28,4,34,23,1,5,35,22,0,3,34,24,1,0,30,27,5,28,12,7,15,1,23,34,4,0,22,35,5,1,24,34,3,5,27,30,0
16,7,12,27,4,33,24,1,5,34,23,0,3,33,25,1,0,29,28,5,27,12,7,16,1,24,33,4,0,23,34,5,1,25,33,3,5,28,29,0
17,7,12,26,4,32,25,1,5,33,24,0,3,32,26,1,0,28,29,5,26,12,7,17,1,25,32,4,0,24,33,5,1,26,32,3,5,29,28,0
18,7,12,25,4,31,26,1,5,32,25,0,3,31,27,1,0,27,30,5,25,12,7,18,1,26,31,4,0,25,32,5,1,27,31,3,5,30,27,0
19,7,12,24,4,30,27,1,5,31,26,0,3,30,28,1,0,26,31,5,24,12,7,19,1,27,30,4,0,26,31,5,1,28,30,3,5,31,26,0
19,8,11,24,4,31,26,1,4,31,26,1,3,31,27,1,0,27,30,5,24,11,8,19,1,26,31,4,1,26,31,4,1,27,31,3,5,30,27,0
20,8,11,23,4,30,27,1,4,30,27,1,3,30,28,1,0,26,31,5,23,11,8,20,1,27,30,4,1,27,30,4,1,28,30,3,5,31,26,0
19,8,11,24,4,31,26,1,4,31,26,1,3,31,27,1,0,27,30,5,24,11,8,19,1,26,31,4,1,26,31,4,1,27,31,3,5,30,27,0
20,8,11,23,4,30,27,1,4,30,27,1,3,30,28,1,0,26,31,5,23,11,8,20,1,27,30,4,1,27,30,4,1,28,30,3,5,31,26,0
