in x 4,,,,in x 0,,,,in x 3,,,,in x 2,,,,in x 1,,,,out x 4,,,,out x 0,,,,out x 3,,,,out x 2,,,,out x 1,,,
True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
1,15,4,42,0,52,5,5,0,52,5,5,4,57,1,0,0,52,5,5,42,4,15,1,5,5,52,0,5,5,52,0,0,1,57,4,5,5,52,0
2,15,4,41,0,51,6,5,0,51,6,5,4,56,2,0,0,51,6,5,41,4,15,2,5,6,51,0,5,6,51,0,0,2,56,4,5,6,51,0
3,15,4,40,0,50,7,5,0,50,7,5,4,55,3,0,0,50,7,5,40,4,15,3,5,7,50,0,5,7,50,0,0,3,55,4,5,7,50,0
4,15,4,39,0,49,8,5,0,49,8,5,4,54,4,0,0,49,8,5,39,4,15,4,5,8,49,0,5,8,49,0,0,4,54,4,5,8,49,0
5,15,4,38,0,48,9,5,0,48,9,5,4,53,5,0,0,48,9,5,38,4,15,5,5,9,48,0,5,9,48,0,0,5,53,4,5,9,48,0
6,15,4,37,0,47,10,5,0,47,10,5,4,52,6,0,0,47,10,5,37,4,15,6,5,10,47,0,5,10,47,0,0,6,52,4,5,10,47,0
7,15,4,36,0,46,11,5,0,46,11,5,4,51,7,0,0,46,11,5,36,4,15,7,5,11,46,0,5,11,46,0,0,7,51,4,5,11,46,0
8,15,4,35,0,45,12,5,0,45,12,5,4,50,8,0,0,45,12,5,35,4,15,8,5,12,45,0,5,12,45,0,0,8,50,4,5,12,45,0
9,15,4,34,0,44,13,5,0,44,13,5,4,49,9,0,0,44,13,5,34,4,15,9,5,13,44,0,5,13,44,0,0,9,49,4,5,13,44,0
10,15,4,33,0,43,14,5,0,43,14,5,4,48,10,0,0,43,14,5,33,4,15,10,5,14,43,0,5,14,43,0,0,10,48,4,5,14,43,0
10,14,5,33,0,42,15,5,1,43,14,4,4,47,11,0,0,42,15,5,33,5,14,10,5,15,42,0,4,14,43,1,0,11,47,4,5,15,42,0
10,13,6,33,0,41,16,5,2,43,14,3,4,46,12,0,0,41,16,5,33,6,13,10,5,16,41,0,3,14,43,2,0,12,46,4,5,16,41,0
10,12,7,33,0,40,17,5,3,43,14,2,4,45,13,0,0,40,17,5,33,7,12,10,5,17,40,0,2,14,43,3,0,13,45,4,5,17,40,0
11,12,7,32,0,39,18,5,3,42,15,2,4,44,14,0,0,39,18,5,32,7,12,11,5,18,39,0,2,15,42,3,0,14,44,4,5,18,39,0
12,12,7,31,0,38,19,5,3,41,16,2,4,43,15,0,0,38,19,5,31,7,12,12,5,19,38,0,2,16,41,3,0,15,43,4,5,19,38,0
13,12,7,30,0,37,20,5,3,40,17,2,4,42,16,0,0,37,20,5,30,7,12,13,5,20,37,0,2,17,40,3,0,16,42,4,5,20,37,0
14,12,7,29,0,36,21,5,3,39,18,2,4,41,17,0,0,36,21,5,29,7,12,14,5,21,36,0,2,18,39,3,0,17,41,4,5,21,36,0
15,12,7,28,0,35,22,5,3,38,19,2,4,40,18,0,0,35,22,5,28,7,12,15,5,22,35,0,2,19,38,3,0,18,40,4,5,22,35,0
16,12,7,27,0,34,23,5,3,37,20,2,4,39,19,0,0,34,23,5,27,7,12,16,5,23,34,0,2,20,37,3,0,19,39,4,5,23,34,0
17,12,7,26,0,33,24,5,3,36,21,2,4,38,20,0,0,33,24,5,26,7,12,17,5,24,33,0,2,21,36,3,0,20,38,4,5,24,33,0
18,12,7,25,0,32,25,5,3,35,22,2,4,37,21,0,0,32,25,5,25,7,12,18,5,25,32,0,2,22,35,3,0,21,37,4,5,25,32,0
19,12,7,24,0,31,26,5,3,34,23,2,4,36,22,0,0,31,26,5,24,7,12,19,5,26,31,0,2,23,34,3,0,22,36,4,5,26,31,0
20,12,7,23,0,30,27,5,3,33,24,2,4,35,23,0,0,30,27,5,23,7,12,20,5,27,30,0,2,24,33,3,0,23,35,4,5,27,30,0
21,12,7,22,0,29,28,5,3,32,25,2,4,34,24,0,0,29,28,5,22,7,12,21,5,28,29,0,2,25,32,3,0,24,34,4,5,28,29,0
22,12,7,21,0,28,29,5,3,31,26,2,4,33,25,0,0,28,29,5,21,7,12,22,5,29,28,0,2,26,31,3,0,25,33,4,5,29,28,0
22,13,6,21,0,29,28,5,3,32,25,2,3,33,25,1,0,29,28,5,21,6,13,22,5,28,29,0,2,25,32,3,1,25,33,3,5,28,29,0
23,13,6,20,0,28,29,5,3,31,26,2,3,32,26,1,0,28,29,5,20,6,13,23,5,29,28,0,2,26,31,3,1,26,32,3,5,29,28,0
24,13,6,19,0,27,30,5,3,30,27,2,3,31,27,1,0,27,30,5,19,6,13,24,5,30,27,0,2,27,30,3,1,27,31,3,5,30,27,0
25,13,6,18,0,26,31,5,3,29,28,2,3,30,28,1,0,26,31,5,18,6,13,25,5,31,26,0,2,28,29,3,1,28,30,3,5,31,26,0
24,13,6,19,0,27,30,5,3,30,27,2,3,31,27,1,0,27,30,5,19,6,13,24,5,30,27,0,2,27,30,3,1,27,31,3,5,30,27,0
25,13,6,18,0,26,31,5,3,29,28,2,3,30,28,1,0,26,31,5,18,6,13,25,5,31,26,0,2,28,29,3,1,28,30,3,5,31,26,0
26,13,6,17,0,25,32,5,3,28,29,2,3,29,29,1,0,25,32,5,17,6,13,26,5,32,25,0,2,29,28,3,1,29,29,3,5,32,25,0
25,13,6,18,0,26,31,5,3,29,28,2,3,30,28,1,0,26,31,5,18,6,13,25,5,31,26,0,2,28,29,3,1,28,30,3,5,31,26,0
26,13,6,17,0,25,32,5,3,28,29,2,3,29,29,1,0,25,32,5,17,6,13,26,5,32,25,0,2,29,28,3,1,29,29,3,5,32,25,0
25,13,6,18,0,26,31,5,3,29,28,2,3,30,28,1,0,26,31,5,18,6,13,25,5,31,26,0,2,28,29,3,1,28,30,3,5,31,26,0
24,13,6,19,0,27,30,5,3,30,27,2,3,31,27,1,0,27,30,5,19,6,13,24,5,30,27,0,2,27,30,3,1,27,31,3,5,30,27,0
25,13,6,18,0,26,31,5,3,29,28,2,3,30,28,1,0,26,31,5,18,6,13,25,5,31,26,0,2,28,29,3,1,28,30,3,5,31,26,0
25,14,5,18,0,27,30,5,2,29,28,3,3,31,27,1,0,27,30,5,18,5,14,25,5,30,27,0,3,28,29,2,1,27,31,3,5,30,27,0
