in x Other Associates of Hijackers,,,,in x Flight AA#11 - Crashed into WTC North,,,,in x Flight UA#175 - Crashed into WTC South,,,,in x Flight UA#93 - Crashed into Pennsylvania,,,,in x Flight AA#77 - Crashed into Pentagon,,,,out x Other Associates of Hijackers,,,,out x Flight AA#11 - Crashed into WTC North,,,,out x Flight UA#175 - Crashed into WTC South,,,,out x Flight UA#93 - Crashed into Pennsylvania,,,,out x Flight AA#77 - Crashed into Pentagon,,,
True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
1,16,3,42,0,53,4,5,0,53,4,5,3,57,1,1,0,53,4,5,42,3,16,1,5,4,53,0,5,4,53,0,1,1,57,3,5,4,53,0
2,16,3,41,0,52,5,5,0,52,5,5,3,56,2,1,0,52,5,5,41,3,16,2,5,5,52,0,5,5,52,0,1,2,56,3,5,5,52,0
3,16,3,40,0,51,6,5,0,51,6,5,3,55,3,1,0,51,6,5,40,3,16,3,5,6,51,0,5,6,51,0,1,3,55,3,5,6,51,0
4,16,3,39,0,50,7,5,0,50,7,5,3,54,4,1,0,50,7,5,39,3,16,4,5,7,50,0,5,7,50,0,1,4,54,3,5,7,50,0
5,16,3,38,0,49,8,5,0,49,8,5,3,53,5,1,0,49,8,5,38,3,16,5,5,8,49,0,5,8,49,0,1,5,53,3,5,8,49,0
6,16,3,37,0,48,9,5,0,48,9,5,3,52,6,1,0,48,9,5,37,3,16,6,5,9,48,0,5,9,48,0,1,6,52,3,5,9,48,0
7,16,3,36,0,47,10,5,0,47,10,5,3,51,7,1,0,47,10,5,36,3,16,7,5,10,47,0,5,10,47,0,1,7,51,3,5,10,47,0
8,16,3,35,0,46,11,5,0,46,11,5,3,50,8,1,0,46,11,5,35,3,16,8,5,11,46,0,5,11,46,0,1,8,50,3,5,11,46,0
9,16,3,34,0,45,12,5,0,45,12,5,3,49,9,1,0,45,12,5,34,3,16,9,5,12,45,0,5,12,45,0,1,9,49,3,5,12,45,0
10,16,3,33,0,44,13,5,0,44,13,5,3,48,10,1,0,44,13,5,33,3,16,10,5,13,44,0,5,13,44,0,1,10,48,3,5,13,44,0
11,16,3,32,0,43,14,5,0,43,14,5,3,47,11,1,0,43,14,5,32,3,16,11,5,14,43,0,5,14,43,0,1,11,47,3,5,14,43,0
12,16,3,31,0,42,15,5,0,42,15,5,3,46,12,1,0,42,15,5,31,3,16,12,5,15,42,0,5,15,42,0,1,12,46,3,5,15,42,0
13,16,3,30,0,41,16,5,0,41,16,5,3,45,13,1,0,41,16,5,30,3,16,13,5,16,41,0,5,16,41,0,1,13,45,3,5,16,41,0
14,16,3,29,0,40,17,5,0,40,17,5,3,44,14,1,0,40,17,5,29,3,16,14,5,17,40,0,5,17,40,0,1,14,44,3,5,17,40,0
15,16,3,28,0,39,18,5,0,39,18,5,3,43,15,1,0,39,18,5,28,3,16,15,5,18,39,0,5,18,39,0,1,15,43,3,5,18,39,0
16,16,3,27,0,38,19,5,0,38,19,5,3,42,16,1,0,38,19,5,27,3,16,16,5,19,38,0,5,19,38,0,1,16,42,3,5,19,38,0
17,16,3,26,0,37,20,5,0,37,20,5,3,41,17,1,0,37,20,5,26,3,16,17,5,20,37,0,5,20,37,0,1,17,41,3,5,20,37,0
18,16,3,25,0,36,21,5,0,36,21,5,3,40,18,1,0,36,21,5,25,3,16,18,5,21,36,0,5,21,36,0,1,18,40,3,5,21,36,0
19,16,3,24,0,35,22,5,0,35,22,5,3,39,19,1,0,35,22,5,24,3,16,19,5,22,35,0,5,22,35,0,1,19,39,3,5,22,35,0
20,16,3,23,0,34,23,5,0,34,23,5,3,38,20,1,0,34,23,5,23,3,16,20,5,23,34,0,5,23,34,0,1,20,38,3,5,23,34,0
21,16,3,22,0,33,24,5,0,33,24,5,3,37,21,1,0,33,24,5,22,3,16,21,5,24,33,0,5,24,33,0,1,21,37,3,5,24,33,0
22,16,3,21,0,32,25,5,0,32,25,5,3,36,22,1,0,32,25,5,21,3,16,22,5,25,32,0,5,25,32,0,1,22,36,3,5,25,32,0
23,16,3,20,0,31,26,5,0,31,26,5,3,35,23,1,0,31,26,5,20,3,16,23,5,26,31,0,5,26,31,0,1,23,35,3,5,26,31,0
24,16,3,19,0,30,27,5,0,30,27,5,3,34,24,1,0,30,27,5,19,3,16,24,5,27,30,0,5,27,30,0,1,24,34,3,5,27,30,0
25,16,3,18,0,29,28,5,0,29,28,5,3,33,25,1,0,29,28,5,18,3,16,25,5,28,29,0,5,28,29,0,1,25,33,3,5,28,29,0
26,16,3,17,0,28,29,5,0,28,29,5,3,32,26,1,0,28,29,5,17,3,16,26,5,29,28,0,5,29,28,0,1,26,32,3,5,29,28,0
27,16,3,16,0,27,30,5,0,27,30,5,3,31,27,1,0,27,30,5,16,3,16,27,5,30,27,0,5,30,27,0,1,27,31,3,5,30,27,0
27,17,2,16,0,28,29,5,0,28,29,5,2,31,27,2,0,28,29,5,16,2,17,27,5,29,28,0,5,29,28,0,2,27,31,2,5,29,28,0
28,17,2,15,0,27,30,5,0,27,30,5,2,30,28,2,0,27,30,5,15,2,17,28,5,30,27,0,5,30,27,0,2,28,30,2,5,30,27,0
28,18,1,15,0,28,29,5,0,28,29,5,1,30,28,3,0,28,29,5,15,1,18,28,5,29,28,0,5,29,28,0,3,28,30,1,5,29,28,0
29,18,1,14,0,27,30,5,0,27,30,5,1,29,29,3,0,27,30,5,14,1,18,29,5,30,27,0,5,30,27,0,3,29,29,1,5,30,27,0
29,19,0,14,0,28,29,5,0,28,29,5,0,29,29,4,0,28,29,5,14,0,19,29,5,29,28,0,5,29,28,0,4,29,29,0,5,29,28,0
29,18,1,14,0,27,30,5,1,28,29,4,0,28,30,4,0,27,30,5,14,1,18,29,5,30,27,0,4,29,28,1,4,30,28,0,5,30,27,0
