iteration,yes x none,,,,no x none,,,
iteration,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
120,158542,0,                       0,158538,158538,0,                       0,158542
121,158541,0,                       0,158539,158539,0,                       0,158541
122,158540,0,                       0,158540,158540,0,                       0,158540
123,158541,0,                       0,158539,158539,0,                       0,158541
124,158540,0,                       0,158540,158540,0,                       0,158540
125,158539,0,                       0,158541,158541,0,                       0,158539
126,158538,0,                       0,158542,158542,0,                       0,158538
127,158539,0,                       0,158541,158541,0,                       0,158539
128,158540,0,                       0,158540,158540,0,                       0,158540
129,158541,0,                       0,158539,158539,0,                       0,158541
130,158542,0,                       0,158538,158538,0,                       0,158542
131,158543,0,                       0,158537,158537,0,                       0,158543
132,158542,0,                       0,158538,158538,0,                       0,158542
133,158541,0,                       0,158539,158539,0,                       0,158541
134,158540,0,                       0,158540,158540,0,                       0,158540
135,158541,0,                       0,158539,158539,0,                       0,158541
136,158540,0,                       0,158540,158540,0,                       0,158540
137,158539,0,                       0,158541,158541,0,                       0,158539
138,158540,0,                       0,158540,158540,0,                       0,158540
139,158539,0,                       0,158541,158541,0,                       0,158539
140,158540,0,                       0,158540,158540,0,                       0,158540
141,158539,0,                       0,158541,158541,0,                       0,158539
142,158540,0,                       0,158540,158540,0,                       0,158540
143,158539,0,                       0,158541,158541,0,                       0,158539
144,158538,0,                       0,158542,158542,0,                       0,158538
145,158539,0,                       0,158541,158541,0,                       0,158539
146,158540,0,                       0,158540,158540,0,                       0,158540
147,158539,0,                       0,158541,158541,0,                       0,158539
148,158538,0,                       0,158542,158542,0,                       0,158538
149,158539,0,                       0,158541,158541,0,                       0,158539
150,158538,0,                       0,158542,158542,0,                       0,158538
151,158537,0,                       0,158543,158543,0,                       0,158537
152,158538,0,                       0,158542,158542,0,                       0,158538
153,158539,0,                       0,158541,158541,0,                       0,158539
154,158540,0,                       0,158540,158540,0,                       0,158540
155,158541,0,                       0,158539,158539,0,                       0,158541
156,158542,0,                       0,158538,158538,0,                       0,158542
157,158541,0,                       0,158539,158539,0,                       0,158541
158,158540,0,                       0,158540,158540,0,                       0,158540
159,158539,0,                       0,158541,158541,0,                       0,158539
160,158538,0,                       0,158542,158542,0,                       0,158538
161,158539,0,                       0,158541,158541,0,                       0,158539
162,158538,0,                       0,158542,158542,0,                       0,158538
163,158539,0,                       0,158541,158541,0,                       0,158539
164,158540,0,                       0,158540,158540,0,                       0,158540
165,158541,0,                       0,158539,158539,0,                       0,158541
166,158540,0,                       0,158540,158540,0,                       0,158540
167,158541,0,                       0,158539,158539,0,                       0,158541
168,158540,0,                       0,158540,158540,0,                       0,158540
169,158539,0,                       0,158541,158541,0,                       0,158539
170,158540,0,                       0,158540,158540,0,                       0,158540
171,158539,0,                       0,158541,158541,0,                       0,158539
172,158540,0,                       0,158540,158540,0,                       0,158540
173,158539,0,                       0,158541,158541,0,                       0,158539
174,158540,0,                       0,158540,158540,0,                       0,158540
175,158541,0,                       0,158539,158539,0,                       0,158541
176,158542,0,                       0,158538,158538,0,                       0,158542
177,158543,0,                       0,158537,158537,0,                       0,158543
178,158544,0,                       0,158536,158536,0,                       0,158544
179,158543,0,                       0,158537,158537,0,                       0,158543
180,158542,0,                       0,158538,158538,0,                       0,158542
181,158541,0,                       0,158539,158539,0,                       0,158541
182,158540,0,                       0,158540,158540,0,                       0,158540
183,158539,0,                       0,158541,158541,0,                       0,158539
184,158540,0,                       0,158540,158540,0,                       0,158540
185,158539,0,                       0,158541,158541,0,                       0,158539
186,158540,0,                       0,158540,158540,0,                       0,158540
187,158539,0,                       0,158541,158541,0,                       0,158539
188,158540,0,                       0,158540,158540,0,                       0,158540
189,158541,0,                       0,158539,158539,0,                       0,158541
190,158540,0,                       0,158540,158540,0,                       0,158540
191,158539,0,                       0,158541,158541,0,                       0,158539
192,158540,0,                       0,158540,158540,0,                       0,158540
193,158541,0,                       0,158539,158539,0,                       0,158541
