Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
B3,out,in,2.75,2.75,-4.50
B1,out,in,1.85,4.60,-2.65
B2,out,in,2.95,7.55,0.30
