in x Other Associates of Hijackers,,,,in x Flight AA#11 - Crashed into WTC North,,,,in x Flight UA#175 - Crashed into WTC South,,,,in x Flight UA#93 - Crashed into Pennsylvania,,,,in x Flight AA#77 - Crashed into Pentagon,,,,out x Other Associates of Hijackers,,,,out x Flight AA#11 - Crashed into WTC North,,,,out x Flight UA#175 - Crashed into WTC South,,,,out x Flight UA#93 - Crashed into Pennsylvania,,,,out x Flight AA#77 - Crashed into Pentagon,,,
True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
1,15,4,42,0,52,5,5,4,56,1,1,0,53,5,4,0,52,5,5,42,4,15,1,5,5,52,0,1,1,56,4,4,5,53,0,5,5,52,0
2,15,4,41,0,51,6,5,4,55,2,1,0,52,6,4,0,51,6,5,41,4,15,2,5,6,51,0,1,2,55,4,4,6,52,0,5,6,51,0
3,15,4,40,0,50,7,5,4,54,3,1,0,51,7,4,0,50,7,5,40,4,15,3,5,7,50,0,1,3,54,4,4,7,51,0,5,7,50,0
4,15,4,39,0,49,8,5,4,53,4,1,0,50,8,4,0,49,8,5,39,4,15,4,5,8,49,0,1,4,53,4,4,8,50,0,5,8,49,0
5,15,4,38,0,48,9,5,4,52,5,1,0,49,9,4,0,48,9,5,38,4,15,5,5,9,48,0,1,5,52,4,4,9,49,0,5,9,48,0
6,15,4,37,0,47,10,5,4,51,6,1,0,48,10,4,0,47,10,5,37,4,15,6,5,10,47,0,1,6,51,4,4,10,48,0,5,10,47,0
7,15,4,36,0,46,11,5,4,50,7,1,0,47,11,4,0,46,11,5,36,4,15,7,5,11,46,0,1,7,50,4,4,11,47,0,5,11,46,0
8,15,4,35,0,45,12,5,4,49,8,1,0,46,12,4,0,45,12,5,35,4,15,8,5,12,45,0,1,8,49,4,4,12,46,0,5,12,45,0
8,14,5,35,0,44,13,5,4,48,9,1,1,46,12,3,0,44,13,5,35,5,14,8,5,13,44,0,1,9,48,4,3,12,46,1,5,13,44,0
9,14,5,34,0,43,14,5,4,47,10,1,1,45,13,3,0,43,14,5,34,5,14,9,5,14,43,0,1,10,47,4,3,13,45,1,5,14,43,0
10,14,5,33,0,42,15,5,4,46,11,1,1,44,14,3,0,42,15,5,33,5,14,10,5,15,42,0,1,11,46,4,3,14,44,1,5,15,42,0
11,14,5,32,0,41,16,5,4,45,12,1,1,43,15,3,0,41,16,5,32,5,14,11,5,16,41,0,1,12,45,4,3,15,43,1,5,16,41,0
12,14,5,31,0,40,17,5,4,44,13,1,1,42,16,3,0,40,17,5,31,5,14,12,5,17,40,0,1,13,44,4,3,16,42,1,5,17,40,0
13,14,5,30,0,39,18,5,4,43,14,1,1,41,17,3,0,39,18,5,30,5,14,13,5,18,39,0,1,14,43,4,3,17,41,1,5,18,39,0
14,14,5,29,0,38,19,5,4,42,15,1,1,40,18,3,0,38,19,5,29,5,14,14,5,19,38,0,1,15,42,4,3,18,40,1,5,19,38,0
15,14,5,28,0,37,20,5,4,41,16,1,1,39,19,3,0,37,20,5,28,5,14,15,5,20,37,0,1,16,41,4,3,19,39,1,5,20,37,0
16,14,5,27,0,36,21,5,4,40,17,1,1,38,20,3,0,36,21,5,27,5,14,16,5,21,36,0,1,17,40,4,3,20,38,1,5,21,36,0
17,14,5,26,0,35,22,5,4,39,18,1,1,37,21,3,0,35,22,5,26,5,14,17,5,22,35,0,1,18,39,4,3,21,37,1,5,22,35,0
18,14,5,25,0,34,23,5,4,38,19,1,1,36,22,3,0,34,23,5,25,5,14,18,5,23,34,0,1,19,38,4,3,22,36,1,5,23,34,0
19,14,5,24,0,33,24,5,4,37,20,1,1,35,23,3,0,33,24,5,24,5,14,19,5,24,33,0,1,20,37,4,3,23,35,1,5,24,33,0
20,14,5,23,0,32,25,5,4,36,21,1,1,34,24,3,0,32,25,5,23,5,14,20,5,25,32,0,1,21,36,4,3,24,34,1,5,25,32,0
21,14,5,22,0,31,26,5,4,35,22,1,1,33,25,3,0,31,26,5,22,5,14,21,5,26,31,0,1,22,35,4,3,25,33,1,5,26,31,0
22,14,5,21,0,30,27,5,4,34,23,1,1,32,26,3,0,30,27,5,21,5,14,22,5,27,30,0,1,23,34,4,3,26,32,1,5,27,30,0
23,14,5,20,0,29,28,5,4,33,24,1,1,31,27,3,0,29,28,5,20,5,14,23,5,28,29,0,1,24,33,4,3,27,31,1,5,28,29,0
23,15,4,20,0,30,27,5,3,33,24,2,1,32,26,3,0,30,27,5,20,4,15,23,5,27,30,0,2,24,33,3,3,26,32,1,5,27,30,0
24,15,4,19,0,29,28,5,3,32,25,2,1,31,27,3,0,29,28,5,19,4,15,24,5,28,29,0,2,25,32,3,3,27,31,1,5,28,29,0
