iteration,yes x none,,,,no x none,,,
iteration,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
142,499,0,                       0,501,501,0,                       0,499
143,498,0,                       0,502,502,0,                       0,498
144,499,0,                       0,501,501,0,                       0,499
145,500,0,                       0,500,500,0,                       0,500
146,501,0,                       0,499,499,0,                       0,501
147,500,0,                       0,500,500,0,                       0,500
148,499,0,                       0,501,501,0,                       0,499
149,500,0,                       0,500,500,0,                       0,500
150,501,0,                       0,499,499,0,                       0,501
151,500,0,                       0,500,500,0,                       0,500
152,499,0,                       0,501,501,0,                       0,499
153,500,0,                       0,500,500,0,                       0,500
154,499,0,                       0,501,501,0,                       0,499
155,500,0,                       0,500,500,0,                       0,500
156,501,0,                       0,499,499,0,                       0,501
157,500,0,                       0,500,500,0,                       0,500
158,501,0,                       0,499,499,0,                       0,501
159,502,0,                       0,498,498,0,                       0,502
160,501,0,                       0,499,499,0,                       0,501
161,500,0,                       0,500,500,0,                       0,500
162,501,0,                       0,499,499,0,                       0,501
163,502,0,                       0,498,498,0,                       0,502
164,501,0,                       0,499,499,0,                       0,501
165,502,0,                       0,498,498,0,                       0,502
166,503,0,                       0,497,497,0,                       0,503
167,502,0,                       0,498,498,0,                       0,502
168,501,0,                       0,499,499,0,                       0,501
169,500,0,                       0,500,500,0,                       0,500
170,499,0,                       0,501,501,0,                       0,499
171,500,0,                       0,500,500,0,                       0,500
172,499,0,                       0,501,501,0,                       0,499
173,500,0,                       0,500,500,0,                       0,500
174,499,0,                       0,501,501,0,                       0,499
175,500,0,                       0,500,500,0,                       0,500
176,499,0,                       0,501,501,0,                       0,499
177,498,0,                       0,502,502,0,                       0,498
178,499,0,                       0,501,501,0,                       0,499
179,498,0,                       0,502,502,0,                       0,498
180,499,0,                       0,501,501,0,                       0,499
181,500,0,                       0,500,500,0,                       0,500
182,499,0,                       0,501,501,0,                       0,499
183,500,0,                       0,500,500,0,                       0,500
184,499,0,                       0,501,501,0,                       0,499
185,500,0,                       0,500,500,0,                       0,500
186,499,0,                       0,501,501,0,                       0,499
187,500,0,                       0,500,500,0,                       0,500
188,499,0,                       0,501,501,0,                       0,499
189,500,0,                       0,500,500,0,                       0,500
190,501,0,                       0,499,499,0,                       0,501
191,500,0,                       0,500,500,0,                       0,500
192,501,0,                       0,499,499,0,                       0,501
193,502,0,                       0,498,498,0,                       0,502
194,503,0,                       0,497,497,0,                       0,503
195,502,0,                       0,498,498,0,                       0,502
196,501,0,                       0,499,499,0,                       0,501
197,502,0,                       0,498,498,0,                       0,502
198,501,0,                       0,499,499,0,                       0,501
199,500,0,                       0,500,500,0,                       0,500
200,501,0,                       0,499,499,0,                       0,501
201,500,0,                       0,500,500,0,                       0,500
202,501,0,                       0,499,499,0,                       0,501
203,500,0,                       0,500,500,0,                       0,500
204,501,0,                       0,499,499,0,                       0,501
205,500,0,                       0,500,500,0,                       0,500
206,501,0,                       0,499,499,0,                       0,501
207,502,0,                       0,498,498,0,                       0,502
208,501,0,                       0,499,499,0,                       0,501
209,500,0,                       0,500,500,0,                       0,500
210,499,0,                       0,501,501,0,                       0,499
211,500,0,                       0,500,500,0,                       0,500
212,499,0,                       0,501,501,0,                       0,499
213,498,0,                       0,502,502,0,                       0,498
214,499,0,                       0,501,501,0,                       0,499
215,498,0,                       0,502,502,0,                       0,498
216,499,0,                       0,501,501,0,                       0,499
217,500,0,                       0,500,500,0,                       0,500
218,501,0,                       0,499,499,0,                       0,501
219,502,0,                       0,498,498,0,                       0,502
220,503,0,                       0,497,497,0,                       0,503
221,502,0,                       0,498,498,0,                       0,502
222,503,0,                       0,497,497,0,                       0,503
223,502,0,                       0,498,498,0,                       0,502
224,501,0,                       0,499,499,0,                       0,501
225,500,0,                       0,500,500,0,                       0,500
226,499,0,                       0,501,501,0,                       0,499
227,500,0,                       0,500,500,0,                       0,500
228,501,0,                       0,499,499,0,                       0,501
229,502,0,                       0,498,498,0,                       0,502
230,501,0,                       0,499,499,0,                       0,501
231,500,0,                       0,500,500,0,                       0,500
232,501,0,                       0,499,499,0,                       0,501
233,500,0,                       0,500,500,0,                       0,500
234,501,0,                       0,499,499,0,                       0,501
235,500,0,                       0,500,500,0,                       0,500
236,501,0,                       0,499,499,0,                       0,501
237,502,0,                       0,498,498,0,                       0,502
238,501,0,                       0,499,499,0,                       0,501
239,502,0,                       0,498,498,0,                       0,502
240,501,0,                       0,499,499,0,                       0,501
241,502,0,                       0,498,498,0,                       0,502
242,503,0,                       0,497,497,0,                       0,503
243,502,0,                       0,498,498,0,                       0,502
244,501,0,                       0,499,499,0,                       0,501
245,502,0,                       0,498,498,0,                       0,502
246,501,0,                       0,499,499,0,                       0,501
247,502,0,                       0,498,498,0,                       0,502
248,501,0,                       0,499,499,0,                       0,501
249,502,0,                       0,498,498,0,                       0,502
250,501,0,                       0,499,499,0,                       0,501
251,502,0,                       0,498,498,0,                       0,502
252,501,0,                       0,499,499,0,                       0,501
253,500,0,                       0,500,500,0,                       0,500
254,501,0,                       0,499,499,0,                       0,501
255,500,0,                       0,500,500,0,                       0,500
256,499,0,                       0,501,501,0,                       0,499
257,500,0,                       0,500,500,0,                       0,500
258,499,0,                       0,501,501,0,                       0,499
259,500,0,                       0,500,500,0,                       0,500
260,499,0,                       0,501,501,0,                       0,499
261,498,0,                       0,502,502,0,                       0,498
262,499,0,                       0,501,501,0,                       0,499
263,500,0,                       0,500,500,0,                       0,500
264,499,0,                       0,501,501,0,                       0,499
265,498,0,                       0,502,502,0,                       0,498
266,499,0,                       0,501,501,0,                       0,499
267,500,0,                       0,500,500,0,                       0,500
268,499,0,                       0,501,501,0,                       0,499
269,500,0,                       0,500,500,0,                       0,500
270,501,0,                       0,499,499,0,                       0,501
271,502,0,                       0,498,498,0,                       0,502
272,501,0,                       0,499,499,0,                       0,501
273,500,0,                       0,500,500,0,                       0,500
274,501,0,                       0,499,499,0,                       0,501
275,502,0,                       0,498,498,0,                       0,502
276,501,0,                       0,499,499,0,                       0,501
277,500,0,                       0,500,500,0,                       0,500
278,501,0,                       0,499,499,0,                       0,501
279,500,0,                       0,500,500,0,                       0,500
280,499,0,                       0,501,501,0,                       0,499
281,500,0,                       0,500,500,0,                       0,500
282,499,0,                       0,501,501,0,                       0,499
283,498,0,                       0,502,502,0,                       0,498
284,499,0,                       0,501,501,0,                       0,499
285,500,0,                       0,500,500,0,                       0,500
286,501,0,                       0,499,499,0,                       0,501
287,500,0,                       0,500,500,0,                       0,500
288,499,0,                       0,501,501,0,                       0,499
289,500,0,                       0,500,500,0,                       0,500
290,501,0,                       0,499,499,0,                       0,501
291,500,0,                       0,500,500,0,                       0,500
292,499,0,                       0,501,501,0,                       0,499
293,500,0,                       0,500,500,0,                       0,500
294,499,0,                       0,501,501,0,                       0,499
295,500,0,                       0,500,500,0,                       0,500
296,501,0,                       0,499,499,0,                       0,501
297,500,0,                       0,500,500,0,                       0,500
298,501,0,                       0,499,499,0,                       0,501
299,500,0,                       0,500,500,0,                       0,500
300,501,0,                       0,499,499,0,                       0,501
301,500,0,                       0,500,500,0,                       0,500
302,501,0,                       0,499,499,0,                       0,501
