iteration,node moved,to group,instantaneous gain,            accumulated gain,potential,abs gain %,yes verts,no verts,yes edges,            no edges,verts %,edges %,potential propor %,consults,performance %
226,661,no,4.05,1706.00,-228327.95,+0.00%,500,500,4274,4419,50.00%,                49.17%,50.03%,2,100.00%
227,155,yes,14.95,1720.95,-228313.00,+0.01%,501,499,4288,4410,50.10%,                49.30%,50.24%,4,50.00%
228,936,yes,1.05,1722.00,-228311.95,+0.00%,500,500,4280,4432,50.00%,                49.13%,50.03%,3,66.67%
229,529,yes,7.15,1729.15,-228304.80,+0.00%,499,501,4265,4449,49.90%,                48.94%,49.83%,8,25.00%
230,857,no,1.85,1731.00,-228302.95,+0.00%,498,502,4250,4474,49.80%,                48.72%,49.63%,4,50.00%
231,609,no,4.95,1735.95,-228298.00,+0.00%,499,501,4267,4456,49.90%,                48.92%,49.83%,2,100.00%
232,821,yes,1.05,1737.00,-228296.95,+0.00%,500,500,4284,4443,50.00%,                49.09%,50.04%,3,66.67%
233,58,no,1.95,1738.95,-228295.00,+0.00%,499,501,4274,4455,49.90%,                48.96%,49.83%,4,50.00%
234,710,yes,0.05,1739.00,-228294.95,+0.00%,500,500,4288,4442,50.00%,                49.12%,50.03%,6,33.33%
235,293,no,1.95,1740.95,-228293.00,+0.00%,499,501,4273,4458,49.90%,                48.94%,49.83%,3,66.67%
236,279,yes,0.05,1741.00,-228292.95,+0.00%,500,500,4290,4442,50.00%,                49.13%,50.03%,2,100.00%
237,120,yes,0.15,1741.15,-228292.80,+0.00%,499,501,4279,4454,49.90%,                49.00%,49.83%,7,28.57%
238,472,no,2.85,1744.00,-228289.95,+0.00%,498,502,4260,4476,49.80%,                48.76%,49.63%,2,100.00%
239,163,yes,4.15,1748.15,-228285.80,+0.00%,499,501,4277,4459,49.90%,                48.96%,49.83%,5,40.00%
240,119,no,1.85,1750.00,-228283.95,+0.00%,498,502,4268,4475,49.80%,                48.82%,49.63%,2,100.00%
241,301,yes,3.15,1753.15,-228280.80,+0.00%,499,501,4284,4458,49.90%,                49.00%,49.83%,2,100.00%
242,957,yes,0.25,1753.40,-228280.55,+0.00%,498,502,4274,4474,49.80%,                48.86%,49.63%,2,100.00%
243,260,no,0.75,1754.15,-228279.80,+0.00%,497,503,4264,4489,49.70%,                48.71%,49.43%,2,100.00%
244,801,no,1.85,1756.00,-228277.95,+0.00%,498,502,4284,4465,49.80%,                48.97%,49.62%,8,25.00%
245,228,yes,7.15,1763.15,-228270.80,+0.00%,499,501,4299,4449,49.90%,                49.14%,49.83%,8,25.00%
246,679,no,2.85,1766.00,-228267.95,+0.00%,498,502,4286,4472,49.80%,                48.94%,49.63%,4,50.00%
247,987,yes,1.15,1767.15,-228266.80,+0.00%,499,501,4303,4455,49.90%,                49.13%,49.83%,2,100.00%
248,67,no,1.85,1769.00,-228264.95,+0.00%,498,502,4294,4468,49.80%,                49.01%,49.62%,3,66.67%
249,628,yes,1.15,1770.15,-228263.80,+0.00%,499,501,4310,4451,49.90%,                49.20%,49.82%,5,40.00%
250,999,no,12.85,1783.00,-228250.95,+0.01%,498,502,4299,4466,49.80%,                49.05%,49.62%,7,28.57%
251,573,yes,2.15,1785.15,-228248.80,+0.00%,499,501,4320,4455,49.90%,                49.23%,49.82%,7,28.57%
252,903,no,3.85,1789.00,-228244.95,+0.00%,498,502,4305,4475,49.80%,                49.03%,49.62%,2,100.00%
253,624,no,6.95,1795.95,-228238.00,+0.00%,499,501,4315,4466,49.90%,                49.14%,49.83%,6,33.33%
254,527,yes,2.05,1798.00,-228235.95,+0.00%,500,500,4335,4452,50.00%,                49.33%,50.03%,2,100.00%
255,70,no,3.95,1801.95,-228232.00,+0.00%,499,501,4321,4469,49.90%,                49.16%,49.83%,2,100.00%
256,173,no,9.05,1811.00,-228222.95,+0.00%,500,500,4333,4460,50.00%,                49.28%,50.03%,2,100.00%
257,641,yes,1.95,1812.95,-228221.00,+0.00%,501,499,4357,4446,50.10%,                49.49%,50.23%,3,66.67%
258,506,no,7.05,1820.00,-228213.95,+0.00%,500,500,4341,4463,50.00%,                49.31%,50.03%,4,50.00%
259,888,yes,8.95,1828.95,-228205.00,+0.00%,501,499,4363,4449,50.10%,                49.51%,50.23%,3,66.67%
260,237,no,11.05,1840.00,-228193.95,+0.00%,500,500,4350,4470,50.00%,                49.32%,50.03%,5,40.00%
261,82,no,4.15,1844.15,-228189.80,+0.00%,501,499,4374,4458,50.10%,                49.52%,50.23%,2,100.00%
262,798,yes,0.85,1845.00,-228188.95,+0.00%,502,498,4393,4446,50.20%,                49.70%,50.43%,2,100.00%
263,346,yes,4.95,1849.95,-228184.00,+0.00%,501,499,4378,4459,50.10%,                49.54%,50.23%,6,33.33%
264,766,no,2.05,1852.00,-228181.95,+0.00%,500,500,4372,4469,50.00%,                49.45%,50.02%,2,100.00%
265,233,no,2.15,1854.15,-228179.80,+0.00%,501,499,4383,4461,50.10%,                49.56%,50.23%,2,100.00%
266,670,yes,5.85,1860.00,-228173.95,+0.00%,502,498,4406,4443,50.20%,                49.79%,50.43%,4,50.00%
267,975,yes,2.95,1862.95,-228171.00,+0.00%,501,499,4388,4464,50.10%,                49.57%,50.23%,3,66.67%
268,524,no,0.05,1863.00,-228170.95,+0.00%,500,500,4378,4476,50.00%,                49.45%,50.02%,11,18.18%
269,567,yes,7.95,1870.95,-228163.00,+0.00%,501,499,4395,4460,50.10%,                49.63%,50.22%,2,100.00%
270,275,yes,2.05,1873.00,-228160.95,+0.00%,500,500,4386,4476,50.00%,                49.49%,50.02%,2,100.00%
271,159,yes,0.15,1873.15,-228160.80,+0.00%,499,501,4374,4491,49.90%,                49.34%,49.82%,13,15.38%
272,424,no,1.85,1875.00,-228158.95,+0.00%,498,502,4363,4505,49.80%,                49.20%,49.62%,10,20.00%
273,111,no,1.95,1876.95,-228157.00,+0.00%,499,501,4374,4493,49.90%,                49.33%,49.82%,2,100.00%
274,468,yes,2.05,1879.00,-228154.95,+0.00%,500,500,4385,4483,50.00%,                49.45%,50.02%,2,100.00%
275,415,yes,0.15,1879.15,-228154.80,+0.00%,499,501,4368,4503,49.90%,                49.24%,49.82%,15,13.33%
276,899,no,3.85,1883.00,-228150.95,+0.00%,498,502,4349,4525,49.80%,                49.01%,49.62%,2,100.00%
277,845,no,2.95,1885.95,-228148.00,+0.00%,499,501,4366,4509,49.90%,                49.19%,49.82%,20,10.00%
278,969,yes,5.05,1891.00,-228142.95,+0.00%,500,500,4380,4497,50.00%,                49.34%,50.03%,3,66.67%
279,802,no,5.95,1896.95,-228137.00,+0.00%,499,501,4368,4515,49.90%,                49.17%,49.83%,6,33.33%
280,562,no,0.05,1897.00,-228136.95,+0.00%,500,500,4386,4502,50.00%,                49.35%,50.03%,3,66.67%
281,160,yes,2.95,1899.95,-228134.00,+0.00%,501,499,4407,4482,50.10%,                49.58%,50.23%,6,33.33%
282,488,no,5.05,1905.00,-228128.95,+0.00%,500,500,4390,4501,50.00%,                49.38%,50.03%,2,100.00%
283,767,no,2.15,1907.15,-228126.80,+0.00%,501,499,4413,4484,50.10%,                49.60%,50.22%,4,50.00%
284,996,yes,1.85,1909.00,-228124.95,+0.00%,502,498,4434,4468,50.20%,                49.81%,50.42%,3,66.67%
285,826,yes,0.95,1909.95,-228124.00,+0.00%,501,499,4415,4486,50.10%,                49.60%,50.22%,5,40.00%
286,633,yes,1.05,1911.00,-228122.95,+0.00%,500,500,4397,4504,50.00%,                49.40%,50.02%,16,12.50%
287,342,no,0.95,1911.95,-228122.00,+0.00%,499,501,4387,4516,49.90%,                49.28%,49.82%,2,100.00%
288,842,no,4.05,1916.00,-228117.95,+0.00%,500,500,4396,4507,50.00%,                49.38%,50.03%,4,50.00%
289,105,yes,0.95,1916.95,-228117.00,+0.00%,501,499,4413,4495,50.10%,                49.54%,50.23%,9,22.22%
290,622,yes,1.05,1918.00,-228115.95,+0.00%,500,500,4401,4507,50.00%,                49.41%,50.02%,6,33.33%
291,794,no,5.95,1923.95,-228110.00,+0.00%,499,501,4388,4522,49.90%,                49.25%,49.82%,7,28.57%
292,867,no,5.05,1929.00,-228104.95,+0.00%,500,500,4408,4507,50.00%,                49.44%,50.02%,2,100.00%
293,634,yes,0.95,1929.95,-228104.00,+0.00%,501,499,4426,4495,50.10%,                49.61%,50.22%,2,100.00%
294,354,no,0.05,1930.00,-228103.95,+0.00%,500,500,4409,4512,50.00%,                49.42%,50.02%,5,40.00%
295,483,yes,0.95,1930.95,-228103.00,+0.00%,501,499,4421,4501,50.10%,                49.55%,50.23%,4,50.00%
296,195,yes,0.05,1931.00,-228102.95,+0.00%,500,500,4403,4519,50.00%,                49.35%,50.03%,22,9.09%
297,889,no,0.95,1931.95,-228102.00,+0.00%,499,501,4389,4534,49.90%,                49.19%,49.82%,4,50.00%
298,911,yes,0.05,1932.00,-228101.95,+0.00%,500,500,4401,4522,50.00%,                49.32%,50.03%,3,66.67%
299,137,no,5.95,1937.95,-228096.00,+0.00%,499,501,4381,4543,49.90%,                49.09%,49.83%,11,18.18%
300,211,yes,6.05,1944.00,-228089.95,+0.00%,500,500,4400,4529,50.00%,                49.28%,50.03%,15,13.33%
301,772,no,4.95,1948.95,-228085.00,+0.00%,499,501,4390,4546,49.90%,                49.13%,49.83%,5,40.00%
302,882,yes,5.05,1954.00,-228079.95,+0.00%,500,500,4405,4535,50.00%,                49.27%,50.03%,6,33.33%
303,836,yes,2.15,1956.15,-228077.80,+0.00%,499,501,4393,4553,49.90%,                49.11%,49.83%,3,66.67%
304,674,no,0.85,1957.00,-228076.95,+0.00%,498,502,4377,4574,49.80%,                48.90%,49.63%,2,100.00%
305,278,no,3.95,1960.95,-228073.00,+0.00%,499,501,4392,4557,49.90%,                49.08%,49.83%,3,66.67%
306,192,yes,2.05,1963.00,-228070.95,+0.00%,500,500,4410,4542,50.00%,                49.26%,50.03%,7,28.57%
307,860,no,0.95,1963.95,-228070.00,+0.00%,499,501,4400,4555,49.90%,                49.13%,49.83%,3,66.67%
308,162,yes,3.05,1967.00,-228066.95,+0.00%,500,500,4409,4546,50.00%,                49.24%,50.03%,2,100.00%
309,402,no,5.95,1972.95,-228061.00,+0.00%,499,501,4404,4555,49.90%,                49.16%,49.83%,8,25.00%
310,570,no,1.05,1974.00,-228059.95,+0.00%,500,500,4423,4541,50.00%,                49.34%,50.03%,16,12.50%
311,671,no,2.15,1976.15,-228057.80,+0.00%,501,499,4436,4530,50.10%,                49.48%,50.23%,5,40.00%
312,629,yes,4.85,1981.00,-228052.95,+0.00%,502,498,4450,4521,50.20%,                49.60%,50.43%,3,66.67%
313,639,yes,1.95,1982.95,-228051.00,+0.00%,501,499,4441,4532,50.10%,                49.49%,50.23%,5,40.00%
314,913,no,0.05,1983.00,-228050.95,+0.00%,500,500,4431,4543,50.00%,                49.38%,50.02%,10,20.00%
315,701,yes,7.95,1990.95,-228043.00,+0.00%,501,499,4450,4525,50.10%,                49.58%,50.23%,3,66.67%
316,797,no,8.05,1999.00,-228034.95,+0.00%,500,500,4434,4548,50.00%,                49.37%,50.03%,6,33.33%
317,439,no,6.15,2005.15,-228028.80,+0.00%,501,499,4448,4543,50.10%,                49.47%,50.23%,4,50.00%
318,296,no,2.25,2007.40,-228026.55,+0.00%,502,498,4469,4531,50.20%,                49.66%,50.43%,14,14.29%
319,465,yes,6.75,2014.15,-228019.80,+0.00%,503,497,4485,4522,50.30%,                49.79%,50.63%,41,4.88%
320,148,yes,2.85,2017.00,-228016.95,+0.00%,502,498,4471,4538,50.20%,                49.63%,50.43%,14,14.29%
321,381,yes,1.95,2018.95,-228015.00,+0.00%,501,499,4456,4553,50.10%,                49.46%,50.23%,3,66.67%
322,4,no,0.05,2019.00,-228014.95,+0.00%,500,500,4436,4574,50.00%,                49.23%,50.03%,2,100.00%
323,861,no,0.15,2019.15,-228014.80,+0.00%,501,499,4456,4555,50.10%,                49.45%,50.23%,5,40.00%
324,193,yes,1.85,2021.00,-228012.95,+0.00%,502,498,4475,4539,50.20%,                49.64%,50.43%,8,25.00%
325,44,yes,4.95,2025.95,-228008.00,+0.00%,501,499,4460,4553,50.10%,                49.48%,50.23%,6,33.33%
326,717,no,6.05,2032.00,-228001.95,+0.00%,500,500,4443,4574,50.00%,                49.27%,50.03%,2,100.00%
327,585,yes,2.95,2034.95,-227999.00,+0.00%,501,499,4459,4565,50.10%,                49.41%,50.23%,16,12.50%
328,324,yes,0.05,2035.00,-227998.95,+0.00%,500,500,4450,4576,50.00%,                49.30%,50.03%,13,15.38%
329,973,yes,0.15,2035.15,-227998.80,+0.00%,499,501,4436,4591,49.90%,                49.14%,49.83%,13,15.38%
330,799,yes,1.25,2036.40,-227997.55,+0.00%,498,502,4423,4607,49.80%,                48.98%,49.62%,2,100.00%
331,306,no,0.75,2037.15,-227996.80,+0.00%,497,503,4415,4621,49.70%,                48.86%,49.42%,26,7.69%
332,289,no,0.85,2038.00,-227995.95,+0.00%,498,502,4429,4603,49.80%,                49.04%,49.62%,5,40.00%
333,10,yes,0.15,2038.15,-227995.80,+0.00%,499,501,4444,4586,49.90%,                49.21%,49.82%,18,11.11%
334,57,no,0.85,2039.00,-227994.95,+0.00%,498,502,4428,4605,49.80%,                49.02%,49.62%,8,25.00%
335,796,no,3.95,2042.95,-227991.00,+0.00%,499,501,4447,4584,49.90%,                49.24%,49.82%,40,5.00%
336,481,no,1.05,2044.00,-227989.95,+0.00%,500,500,4464,4570,50.00%,                49.41%,50.02%,5,40.00%
337,261,yes,0.95,2044.95,-227989.00,+0.00%,501,499,4484,4552,50.10%,                49.62%,50.22%,20,10.00%
338,598,yes,0.05,2045.00,-227988.95,+0.00%,500,500,4469,4567,50.00%,                49.46%,50.02%,6,33.33%
339,559,yes,8.15,2053.15,-227980.80,+0.00%,499,501,4452,4585,49.90%,                49.26%,49.82%,34,5.88%
340,909,no,5.85,2059.00,-227974.95,+0.00%,498,502,4445,4603,49.80%,                49.13%,49.62%,18,11.11%
341,477,yes,0.15,2059.15,-227974.80,+0.00%,499,501,4464,4587,49.90%,                49.32%,49.82%,4,50.00%
342,927,no,2.85,2062.00,-227971.95,+0.00%,498,502,4450,4604,49.80%,                49.15%,49.62%,8,25.00%
343,706,no,2.95,2064.95,-227969.00,+0.00%,499,501,4462,4592,49.90%,                49.28%,49.82%,8,25.00%
344,303,no,2.05,2067.00,-227966.95,+0.00%,500,500,4478,4578,50.00%,                49.45%,50.02%,3,66.67%
345,21,yes,0.95,2067.95,-227966.00,+0.00%,501,499,4498,4561,50.10%,                49.65%,50.22%,2,100.00%
346,977,yes,0.05,2068.00,-227965.95,+0.00%,500,500,4481,4578,50.00%,                49.46%,50.02%,10,20.00%
347,487,yes,2.15,2070.15,-227963.80,+0.00%,499,501,4467,4593,49.90%,                49.30%,49.82%,3,66.67%
348,23,no,10.85,2081.00,-227952.95,+0.00%,498,502,4450,4615,49.80%,                49.09%,49.62%,2,100.00%
349,747,no,0.95,2081.95,-227952.00,+0.00%,499,501,4474,4599,49.90%,                49.31%,49.82%,6,33.33%
350,806,no,6.05,2088.00,-227945.95,+0.00%,500,500,4495,4578,50.00%,                49.54%,50.02%,8,25.00%
351,932,yes,0.95,2088.95,-227945.00,+0.00%,501,499,4509,4571,50.10%,                49.66%,50.22%,5,40.00%
352,831,no,1.05,2090.00,-227943.95,+0.00%,500,500,4495,4585,50.00%,                49.50%,50.02%,7,28.57%
353,764,no,0.15,2090.15,-227943.80,+0.00%,501,499,4512,4570,50.10%,                49.68%,50.22%,5,40.00%
354,428,yes,1.85,2092.00,-227941.95,+0.00%,502,498,4522,4563,50.20%,                49.77%,50.43%,6,33.33%
355,691,no,0.15,2092.15,-227941.80,+0.00%,501,499,4504,4580,50.10%,                49.58%,50.22%,35,5.71%
356,126,yes,0.85,2093.00,-227940.95,+0.00%,502,498,4527,4560,50.20%,                49.82%,50.42%,2,100.00%
357,525,yes,0.95,2093.95,-227940.00,+0.00%,501,499,4517,4568,50.10%,                49.72%,50.22%,4,50.00%
358,123,yes,0.05,2094.00,-227939.95,+0.00%,500,500,4502,4583,50.00%,                49.55%,50.02%,2,100.00%
359,564,no,1.95,2095.95,-227938.00,+0.00%,499,501,4486,4600,49.90%,                49.37%,49.82%,9,22.22%
360,409,yes,3.05,2099.00,-227934.95,+0.00%,500,500,4498,4589,50.00%,                49.50%,50.02%,2,100.00%
361,423,no,1.95,2100.95,-227933.00,+0.00%,499,501,4485,4606,49.90%,                49.33%,49.82%,3,66.67%
362,229,yes,7.05,2108.00,-227925.95,+0.00%,500,500,4498,4594,50.00%,                49.47%,50.02%,3,66.67%
363,739,no,1.95,2109.95,-227924.00,+0.00%,499,501,4487,4613,49.90%,                49.31%,49.82%,4,50.00%
364,322,no,1.05,2111.00,-227922.95,+0.00%,500,500,4504,4597,50.00%,                49.49%,50.02%,2,100.00%
365,577,yes,5.95,2116.95,-227917.00,+0.00%,501,499,4521,4582,50.10%,                49.66%,50.22%,6,33.33%
366,784,no,1.05,2118.00,-227915.95,+0.00%,500,500,4511,4597,50.00%,                49.53%,50.02%,8,25.00%
367,498,no,2.15,2120.15,-227913.80,+0.00%,501,499,4528,4582,50.10%,                49.70%,50.22%,11,18.18%
368,552,yes,1.85,2122.00,-227911.95,+0.00%,502,498,4544,4571,50.20%,                49.85%,50.42%,5,40.00%
369,234,yes,0.95,2122.95,-227911.00,+0.00%,501,499,4531,4583,50.10%,                49.71%,50.22%,28,7.14%
370,153,yes,1.05,2124.00,-227909.95,+0.00%,500,500,4517,4597,50.00%,                49.56%,50.02%,11,18.18%
371,149,no,4.95,2128.95,-227905.00,+0.00%,499,501,4503,4613,49.90%,                49.40%,49.82%,7,28.57%
372,543,yes,0.05,2129.00,-227904.95,+0.00%,500,500,4520,4600,50.00%,                49.56%,50.02%,11,18.18%
373,997,no,4.95,2133.95,-227900.00,+0.00%,499,501,4507,4614,49.90%,                49.41%,49.82%,6,33.33%
374,880,yes,1.05,2135.00,-227898.95,+0.00%,500,500,4524,4601,50.00%,                49.58%,50.02%,5,40.00%
375,124,no,1.95,2136.95,-227897.00,+0.00%,499,501,4509,4618,49.90%,                49.40%,49.82%,31,6.45%
376,912,no,2.05,2139.00,-227894.95,+0.00%,500,500,4520,4608,50.00%,                49.52%,50.02%,10,20.00%
377,48,yes,2.95,2141.95,-227892.00,+0.00%,501,499,4534,4597,50.10%,                49.66%,50.22%,4,50.00%
378,90,yes,0.05,2142.00,-227891.95,+0.00%,500,500,4516,4617,50.00%,                49.45%,50.02%,10,20.00%
379,359,yes,0.15,2142.15,-227891.80,+0.00%,499,501,4498,4636,49.90%,                49.24%,49.82%,8,25.00%
380,416,no,0.85,2143.00,-227890.95,+0.00%,498,502,4492,4645,49.80%,                49.16%,49.62%,4,50.00%
381,569,yes,1.15,2144.15,-227889.80,+0.00%,499,501,4503,4632,49.90%,                49.29%,49.82%,7,28.57%
382,514,no,1.85,2146.00,-227887.95,+0.00%,498,502,4492,4647,49.80%,                49.15%,49.62%,17,11.76%
383,680,no,3.95,2149.95,-227884.00,+0.00%,499,501,4509,4629,49.90%,                49.34%,49.82%,8,25.00%
384,194,yes,5.05,2155.00,-227878.95,+0.00%,500,500,4527,4614,50.00%,                49.52%,50.02%,12,16.67%
385,334,yes,1.15,2156.15,-227877.80,+0.00%,499,501,4516,4631,49.90%,                49.37%,49.82%,9,22.22%
386,474,no,4.85,2161.00,-227872.95,+0.00%,498,502,4504,4647,49.80%,                49.22%,49.62%,6,33.33%
387,542,no,4.95,2165.95,-227868.00,+0.00%,499,501,4523,4630,49.90%,                49.42%,49.82%,13,15.38%
388,821,no,1.05,2167.00,-227866.95,+0.00%,500,500,4542,4615,50.00%,                49.60%,50.02%,12,16.67%
389,58,yes,1.95,2168.95,-227865.00,+0.00%,501,499,4554,4605,50.10%,                49.72%,50.22%,4,50.00%
390,790,yes,1.05,2170.00,-227863.95,+0.00%,500,500,4541,4619,50.00%,                49.57%,50.02%,5,40.00%
391,710,no,3.95,2173.95,-227860.00,+0.00%,499,501,4526,4636,49.90%,                49.40%,49.82%,2,100.00%
392,293,yes,4.05,2178.00,-227855.95,+0.00%,500,500,4543,4622,50.00%,                49.57%,50.02%,3,66.67%
393,327,no,0.95,2178.95,-227855.00,+0.00%,499,501,4529,4641,49.90%,                49.39%,49.82%,7,28.57%
394,119,yes,0.05,2179.00,-227854.95,+0.00%,500,500,4548,4622,50.00%,                49.60%,50.02%,8,25.00%
395,631,yes,0.15,2179.15,-227854.80,+0.00%,499,501,4532,4639,49.90%,                49.42%,49.82%,23,8.70%
396,67,yes,2.25,2181.40,-227852.55,+0.00%,498,502,4521,4653,49.80%,                49.28%,49.61%,2,100.00%
397,628,no,0.75,2182.15,-227851.80,+0.00%,497,503,4508,4673,49.70%,                49.10%,49.41%,5,40.00%
398,389,no,3.85,2186.00,-227847.95,+0.00%,498,502,4519,4658,49.80%,                49.24%,49.61%,8,25.00%
399,903,yes,0.15,2186.15,-227847.80,+0.00%,499,501,4533,4645,49.90%,                49.39%,49.82%,7,28.57%
400,527,no,3.85,2190.00,-227843.95,+0.00%,498,502,4525,4656,49.80%,                49.29%,49.61%,7,28.57%
401,87,no,0.95,2190.95,-227843.00,+0.00%,499,501,4541,4641,49.90%,                49.46%,49.81%,4,50.00%
402,906,no,0.05,2191.00,-227842.95,+0.00%,500,500,4553,4629,50.00%,                49.59%,50.02%,6,33.33%
403,82,yes,1.95,2192.95,-227841.00,+0.00%,501,499,4573,4610,50.10%,                49.80%,50.22%,7,28.57%
404,78,yes,8.05,2201.00,-227832.95,+0.00%,500,500,4558,4626,50.00%,                49.63%,50.02%,21,9.52%
405,916,no,0.95,2201.95,-227832.00,+0.00%,499,501,4542,4651,49.90%,                49.41%,49.82%,8,25.00%
406,81,yes,0.05,2202.00,-227831.95,+0.00%,500,500,4552,4641,50.00%,                49.52%,50.02%,8,25.00%
407,159,no,1.95,2203.95,-227830.00,+0.00%,499,501,4540,4654,49.90%,                49.38%,49.82%,4,50.00%
408,665,yes,0.05,2204.00,-227829.95,+0.00%,500,500,4553,4642,50.00%,                49.52%,50.02%,5,40.00%
409,468,no,3.95,2207.95,-227826.00,+0.00%,499,501,4541,4655,49.90%,                49.38%,49.82%,8,25.00%
410,847,no,0.05,2208.00,-227825.95,+0.00%,500,500,4561,4638,50.00%,                49.58%,50.02%,3,66.67%
411,615,yes,5.95,2213.95,-227820.00,+0.00%,501,499,4574,4626,50.10%,                49.72%,50.22%,32,6.25%
412,845,yes,1.05,2215.00,-227818.95,+0.00%,500,500,4558,4647,50.00%,                49.52%,50.02%,2,100.00%
413,955,yes,0.15,2215.15,-227818.80,+0.00%,499,501,4546,4661,49.90%,                49.38%,49.82%,17,11.76%
414,190,no,0.85,2216.00,-227817.95,+0.00%,498,502,4532,4678,49.80%,                49.21%,49.62%,2,100.00%
415,826,no,2.95,2218.95,-227815.00,+0.00%,499,501,4552,4656,49.90%,                49.44%,49.82%,8,25.00%
416,510,no,1.05,2220.00,-227813.95,+0.00%,500,500,4571,4639,50.00%,                49.63%,50.02%,9,22.22%
417,342,yes,2.95,2222.95,-227811.00,+0.00%,501,499,4585,4627,50.10%,                49.77%,50.22%,9,22.22%
418,808,yes,1.05,2224.00,-227809.95,+0.00%,500,500,4577,4637,50.00%,                49.67%,50.01%,5,40.00%
419,884,no,2.95,2226.95,-227807.00,+0.00%,499,501,4560,4656,49.90%,                49.48%,49.81%,11,18.18%
420,313,no,0.05,2227.00,-227806.95,+0.00%,500,500,4579,4639,50.00%,                49.67%,50.01%,26,7.69%
421,672,yes,5.95,2232.95,-227801.00,+0.00%,501,499,4595,4624,50.10%,                49.84%,50.22%,4,50.00%
422,889,yes,1.05,2234.00,-227799.95,+0.00%,500,500,4577,4647,50.00%,                49.62%,50.02%,14,14.29%
423,985,no,1.95,2235.95,-227798.00,+0.00%,499,501,4566,4660,49.90%,                49.49%,49.81%,26,7.69%
424,368,no,9.05,2245.00,-227788.95,+0.00%,500,500,4579,4648,50.00%,                49.63%,50.02%,18,11.11%
425,340,no,1.15,2246.15,-227787.80,+0.00%,501,499,4601,4636,50.10%,                49.81%,50.22%,81,2.47%
426,4,yes,1.85,2248.00,-227785.95,+0.00%,502,498,4613,4628,50.20%,                49.92%,50.42%,48,4.17%
427,315,yes,3.95,2251.95,-227782.00,+0.00%,501,499,4593,4647,50.10%,                49.71%,50.22%,13,15.38%
428,366,yes,0.05,2252.00,-227781.95,+0.00%,500,500,4581,4662,50.00%,                49.56%,50.02%,15,13.33%
429,324,no,1.95,2253.95,-227780.00,+0.00%,499,501,4563,4681,49.90%,                49.36%,49.82%,19,10.53%
430,464,no,1.05,2255.00,-227778.95,+0.00%,500,500,4578,4667,50.00%,                49.52%,50.02%,22,9.09%
431,121,yes,0.95,2255.95,-227778.00,+0.00%,501,499,4595,4652,50.10%,                49.69%,50.22%,7,28.57%
432,725,yes,1.05,2257.00,-227776.95,+0.00%,500,500,4583,4664,50.00%,                49.56%,50.02%,27,7.41%
433,769,no,1.95,2258.95,-227775.00,+0.00%,499,501,4573,4676,49.90%,                49.44%,49.81%,34,5.88%
434,737,no,0.05,2259.00,-227774.95,+0.00%,500,500,4588,4662,50.00%,                49.60%,50.02%,7,28.57%
435,373,yes,4.95,2263.95,-227770.00,+0.00%,501,499,4600,4651,50.10%,                49.72%,50.22%,27,7.41%
436,774,no,1.05,2265.00,-227768.95,+0.00%,500,500,4589,4666,50.00%,                49.58%,50.02%,4,50.00%
437,868,yes,0.95,2265.95,-227768.00,+0.00%,501,499,4607,4650,50.10%,                49.77%,50.22%,30,6.67%
438,38,yes,1.05,2267.00,-227766.95,+0.00%,500,500,4593,4664,50.00%,                49.62%,50.02%,25,8.00%
439,494,yes,0.15,2267.15,-227766.80,+0.00%,499,501,4571,4688,49.90%,                49.37%,49.82%,17,11.76%
440,20,no,1.85,2269.00,-227764.95,+0.00%,498,502,4559,4703,49.80%,                49.22%,49.62%,3,66.67%
441,939,no,2.95,2271.95,-227762.00,+0.00%,499,501,4574,4687,49.90%,                49.39%,49.82%,5,40.00%
442,803,no,0.05,2272.00,-227761.95,+0.00%,500,500,4592,4671,50.00%,                49.57%,50.02%,3,66.67%
443,378,no,1.15,2273.15,-227760.80,+0.00%,501,499,4605,4659,50.10%,                49.71%,50.22%,4,50.00%
444,438,yes,3.85,2277.00,-227756.95,+0.00%,502,498,4621,4647,50.20%,                49.86%,50.42%,5,40.00%
445,839,yes,2.95,2279.95,-227754.00,+0.00%,501,499,4609,4660,50.10%,                49.72%,50.22%,2,100.00%
446,859,no,1.05,2281.00,-227752.95,+0.00%,500,500,4591,4680,50.00%,                49.52%,50.02%,21,9.52%
447,831,yes,2.95,2283.95,-227750.00,+0.00%,501,499,4611,4662,50.10%,                49.73%,50.22%,12,16.67%
448,833,no,5.05,2289.00,-227744.95,+0.00%,500,500,4596,4679,50.00%,                49.55%,50.02%,13,15.38%
449,286,yes,1.95,2290.95,-227743.00,+0.00%,501,499,4611,4670,50.10%,                49.68%,50.22%,19,10.53%
450,240,no,3.05,2294.00,-227739.95,+0.00%,500,500,4600,4682,50.00%,                49.56%,50.02%,5,40.00%
451,282,yes,2.95,2296.95,-227737.00,+0.00%,501,499,4613,4673,50.10%,                49.68%,50.22%,3,66.67%
452,788,yes,0.05,2297.00,-227736.95,+0.00%,500,500,4595,4693,50.00%,                49.47%,50.02%,15,13.33%
453,511,no,0.95,2297.95,-227736.00,+0.00%,499,501,4576,4713,49.90%,                49.26%,49.82%,25,8.00%
454,43,no,5.05,2303.00,-227730.95,+0.00%,500,500,4595,4694,50.00%,                49.47%,50.02%,13,15.38%
455,640,yes,2.95,2305.95,-227728.00,+0.00%,501,499,4616,4679,50.10%,                49.66%,50.22%,48,4.17%
