iteration,node moved,to group,instantaneous gain,            accumulated gain,potential,abs gain %,yes verts,no verts,yes edges,            no edges,verts %,edges %,potential propor %,consults,performance %
53,554,no,2.95,997.95,-229036.00,+0.00%,499,501,3996,3991,49.90%,                50.03%,49.79%,2,100.00%
54,203,yes,2.05,1000.00,-229033.95,+0.00%,500,500,4014,3975,50.00%,                50.24%,49.99%,2,100.00%
55,351,yes,8.15,1008.15,-229025.80,+0.00%,499,501,4006,3986,49.90%,                50.13%,49.79%,3,66.67%
56,973,no,7.85,1016.00,-229017.95,+0.00%,498,502,4000,4003,49.80%,                49.98%,49.59%,2,100.00%
57,745,no,3.95,1019.95,-229014.00,+0.00%,499,501,4017,3991,49.90%,                50.16%,49.79%,6,33.33%
58,72,yes,2.05,1022.00,-229011.95,+0.00%,500,500,4035,3976,50.00%,                50.37%,49.99%,4,50.00%
59,464,yes,9.15,1031.15,-229002.80,+0.00%,499,501,4022,3992,49.90%,                50.19%,49.79%,2,100.00%
60,218,yes,3.25,1034.40,-228999.55,+0.00%,498,502,4012,4014,49.80%,                49.99%,49.59%,2,100.00%
61,825,no,0.75,1035.15,-228998.80,+0.00%,497,503,4003,4031,49.70%,                49.83%,49.38%,4,50.00%
62,551,no,5.85,1041.00,-228992.95,+0.00%,498,502,4018,4012,49.80%,                50.04%,49.59%,2,100.00%
63,740,no,11.95,1052.95,-228981.00,+0.01%,499,501,4035,3998,49.90%,                50.23%,49.79%,3,66.67%
64,379,no,11.05,1064.00,-228969.95,+0.00%,500,500,4061,3983,50.00%,                50.48%,49.99%,2,100.00%
65,66,no,4.15,1068.15,-228965.80,+0.00%,501,499,4087,3969,50.10%,                50.73%,50.18%,5,40.00%
66,786,no,1.25,1069.40,-228964.55,+0.00%,502,498,4106,3957,50.20%,                50.92%,50.38%,2,100.00%
67,71,yes,1.75,1071.15,-228962.80,+0.00%,503,497,4130,3939,50.30%,                51.18%,50.58%,2,100.00%
68,306,yes,8.85,1080.00,-228953.95,+0.00%,502,498,4115,3951,50.20%,                51.02%,50.38%,4,50.00%
69,752,no,1.15,1081.15,-228952.80,+0.00%,501,499,4102,3970,50.10%,                50.82%,50.18%,2,100.00%
70,685,yes,1.85,1083.00,-228950.95,+0.00%,502,498,4123,3953,50.20%,                51.05%,50.38%,2,100.00%
71,289,yes,0.95,1083.95,-228950.00,+0.00%,501,499,4101,3974,50.10%,                50.79%,50.18%,3,66.67%
72,800,no,1.05,1085.00,-228948.95,+0.00%,500,500,4085,3990,50.00%,                50.59%,49.98%,4,50.00%
73,418,no,1.15,1086.15,-228947.80,+0.00%,501,499,4101,3976,50.10%,                50.77%,50.18%,2,100.00%
74,440,no,4.25,1090.40,-228943.55,+0.00%,502,498,4114,3967,50.20%,                50.91%,50.38%,2,100.00%
75,235,yes,2.75,1093.15,-228940.80,+0.00%,503,497,4127,3963,50.30%,                51.01%,50.59%,3,66.67%
76,37,no,4.25,1097.40,-228936.55,+0.00%,502,498,4105,3983,50.20%,                50.75%,50.39%,6,33.33%
77,339,yes,5.75,1103.15,-228930.80,+0.00%,503,497,4129,3968,50.30%,                50.99%,50.59%,2,100.00%
78,854,no,3.25,1106.40,-228927.55,+0.00%,502,498,4115,3983,50.20%,                50.82%,50.39%,4,50.00%
79,10,no,0.35,1106.75,-228927.20,+0.00%,503,497,4139,3967,50.30%,                51.06%,50.58%,2,100.00%
80,226,yes,13.65,1120.40,-228913.55,+0.01%,504,496,4160,3953,50.40%,                51.28%,50.79%,2,100.00%
81,55,yes,3.75,1124.15,-228909.80,+0.00%,503,497,4149,3971,50.30%,                51.10%,50.58%,3,66.67%
82,492,yes,9.85,1134.00,-228899.95,+0.00%,502,498,4131,3988,50.20%,                50.88%,50.39%,3,66.67%
83,57,yes,2.95,1136.95,-228897.00,+0.00%,501,499,4122,4004,50.10%,                50.73%,50.18%,3,66.67%
84,176,yes,1.05,1138.00,-228895.95,+0.00%,500,500,4103,4025,50.00%,                50.48%,49.98%,8,25.00%
85,589,no,2.95,1140.95,-228893.00,+0.00%,499,501,4087,4043,49.90%,                50.27%,49.78%,2,100.00%
86,11,no,4.05,1145.00,-228888.95,+0.00%,500,500,4097,4035,50.00%,                50.38%,49.99%,4,50.00%
87,734,no,7.15,1152.15,-228881.80,+0.00%,501,499,4114,4023,50.10%,                50.56%,50.19%,4,50.00%
88,50,yes,3.85,1156.00,-228877.95,+0.00%,502,498,4140,4007,50.20%,                50.82%,50.39%,4,50.00%
89,227,no,3.15,1159.15,-228874.80,+0.00%,501,499,4130,4018,50.10%,                50.69%,50.18%,5,40.00%
90,726,no,4.25,1163.40,-228870.55,+0.00%,502,498,4147,4007,50.20%,                50.86%,50.39%,2,100.00%
91,557,no,1.35,1164.75,-228869.20,+0.00%,503,497,4162,4001,50.30%,                50.99%,50.59%,10,20.00%
92,513,no,2.45,1167.20,-228866.75,+0.00%,504,496,4182,3989,50.40%,                51.18%,50.79%,2,100.00%
93,178,yes,14.55,1181.75,-228852.20,+0.01%,505,495,4202,3980,50.50%,                51.36%,50.99%,2,100.00%
94,13,yes,8.65,1190.40,-228843.55,+0.00%,504,496,4184,4004,50.40%,                51.10%,50.79%,3,66.67%
95,796,yes,1.75,1192.15,-228841.80,+0.00%,503,497,4173,4017,50.30%,                50.95%,50.59%,5,40.00%
96,481,yes,0.85,1193.00,-228840.95,+0.00%,502,498,4156,4031,50.20%,                50.76%,50.39%,5,40.00%
97,213,yes,2.95,1195.95,-228838.00,+0.00%,501,499,4136,4049,50.10%,                50.53%,50.19%,2,100.00%
98,793,no,2.05,1198.00,-228835.95,+0.00%,500,500,4122,4065,50.00%,                50.35%,49.99%,7,28.57%
99,107,yes,2.95,1200.95,-228833.00,+0.00%,501,499,4136,4054,50.10%,                50.50%,50.19%,9,22.22%
100,849,no,3.05,1204.00,-228829.95,+0.00%,500,500,4116,4076,50.00%,                50.24%,49.99%,2,100.00%
101,144,yes,1.95,1205.95,-228828.00,+0.00%,501,499,4136,4060,50.10%,                50.46%,50.19%,2,100.00%
102,15,yes,8.05,1214.00,-228819.95,+0.00%,500,500,4122,4075,50.00%,                50.29%,49.99%,2,100.00%
103,261,no,0.95,1214.95,-228819.00,+0.00%,499,501,4108,4098,49.90%,                50.06%,49.79%,2,100.00%
104,549,yes,7.05,1222.00,-228811.95,+0.00%,500,500,4123,4083,50.00%,                50.24%,49.99%,2,100.00%
105,976,no,3.95,1225.95,-228808.00,+0.00%,499,501,4109,4105,49.90%,                50.02%,49.79%,2,100.00%
106,778,yes,1.05,1227.00,-228806.95,+0.00%,500,500,4128,4089,50.00%,                50.24%,49.99%,8,25.00%
107,898,yes,5.15,1232.15,-228801.80,+0.00%,499,501,4113,4106,49.90%,                50.04%,49.79%,9,22.22%
108,16,no,15.85,1248.00,-228785.95,+0.01%,498,502,4105,4122,49.80%,                49.90%,49.59%,3,66.67%
109,783,no,6.95,1254.95,-228779.00,+0.00%,499,501,4123,4117,49.90%,                50.04%,49.79%,3,66.67%
