iteration,yes x none,,,,no x none,,,
iteration,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
120,158411,0,                       0,158669,158669,0,                       0,158411
121,158412,0,                       0,158668,158668,0,                       0,158412
122,158413,0,                       0,158667,158667,0,                       0,158413
123,158414,0,                       0,158666,158666,0,                       0,158414
124,158415,0,                       0,158665,158665,0,                       0,158415
125,158416,0,                       0,158664,158664,0,                       0,158416
126,158417,0,                       0,158663,158663,0,                       0,158417
127,158418,0,                       0,158662,158662,0,                       0,158418
128,158419,0,                       0,158661,158661,0,                       0,158419
129,158420,0,                       0,158660,158660,0,                       0,158420
130,158421,0,                       0,158659,158659,0,                       0,158421
131,158422,0,                       0,158658,158658,0,                       0,158422
132,158423,0,                       0,158657,158657,0,                       0,158423
133,158424,0,                       0,158656,158656,0,                       0,158424
134,158425,0,                       0,158655,158655,0,                       0,158425
135,158426,0,                       0,158654,158654,0,                       0,158426
136,158427,0,                       0,158653,158653,0,                       0,158427
137,158428,0,                       0,158652,158652,0,                       0,158428
138,158429,0,                       0,158651,158651,0,                       0,158429
139,158430,0,                       0,158650,158650,0,                       0,158430
140,158431,0,                       0,158649,158649,0,                       0,158431
141,158432,0,                       0,158648,158648,0,                       0,158432
142,158433,0,                       0,158647,158647,0,                       0,158433
143,158434,0,                       0,158646,158646,0,                       0,158434
144,158435,0,                       0,158645,158645,0,                       0,158435
145,158436,0,                       0,158644,158644,0,                       0,158436
146,158437,0,                       0,158643,158643,0,                       0,158437
147,158438,0,                       0,158642,158642,0,                       0,158438
148,158439,0,                       0,158641,158641,0,                       0,158439
149,158440,0,                       0,158640,158640,0,                       0,158440
150,158441,0,                       0,158639,158639,0,                       0,158441
151,158442,0,                       0,158638,158638,0,                       0,158442
152,158443,0,                       0,158637,158637,0,                       0,158443
153,158444,0,                       0,158636,158636,0,                       0,158444
154,158445,0,                       0,158635,158635,0,                       0,158445
155,158446,0,                       0,158634,158634,0,                       0,158446
156,158447,0,                       0,158633,158633,0,                       0,158447
157,158448,0,                       0,158632,158632,0,                       0,158448
158,158449,0,                       0,158631,158631,0,                       0,158449
159,158450,0,                       0,158630,158630,0,                       0,158450
160,158451,0,                       0,158629,158629,0,                       0,158451
161,158452,0,                       0,158628,158628,0,                       0,158452
162,158453,0,                       0,158627,158627,0,                       0,158453
163,158454,0,                       0,158626,158626,0,                       0,158454
164,158455,0,                       0,158625,158625,0,                       0,158455
165,158456,0,                       0,158624,158624,0,                       0,158456
166,158457,0,                       0,158623,158623,0,                       0,158457
167,158458,0,                       0,158622,158622,0,                       0,158458
168,158459,0,                       0,158621,158621,0,                       0,158459
169,158460,0,                       0,158620,158620,0,                       0,158460
170,158461,0,                       0,158619,158619,0,                       0,158461
171,158462,0,                       0,158618,158618,0,                       0,158462
172,158463,0,                       0,158617,158617,0,                       0,158463
173,158464,0,                       0,158616,158616,0,                       0,158464
174,158465,0,                       0,158615,158615,0,                       0,158465
175,158466,0,                       0,158614,158614,0,                       0,158466
176,158467,0,                       0,158613,158613,0,                       0,158467
177,158468,0,                       0,158612,158612,0,                       0,158468
178,158469,0,                       0,158611,158611,0,                       0,158469
179,158470,0,                       0,158610,158610,0,                       0,158470
180,158471,0,                       0,158609,158609,0,                       0,158471
181,158472,0,                       0,158608,158608,0,                       0,158472
182,158473,0,                       0,158607,158607,0,                       0,158473
183,158474,0,                       0,158606,158606,0,                       0,158474
184,158475,0,                       0,158605,158605,0,                       0,158475
185,158476,0,                       0,158604,158604,0,                       0,158476
186,158477,0,                       0,158603,158603,0,                       0,158477
187,158478,0,                       0,158602,158602,0,                       0,158478
188,158479,0,                       0,158601,158601,0,                       0,158479
189,158480,0,                       0,158600,158600,0,                       0,158480
190,158481,0,                       0,158599,158599,0,                       0,158481
191,158482,0,                       0,158598,158598,0,                       0,158482
192,158483,0,                       0,158597,158597,0,                       0,158483
193,158484,0,                       0,158596,158596,0,                       0,158484
194,158485,0,                       0,158595,158595,0,                       0,158485
195,158486,0,                       0,158594,158594,0,                       0,158486
196,158487,0,                       0,158593,158593,0,                       0,158487
197,158488,0,                       0,158592,158592,0,                       0,158488
198,158489,0,                       0,158591,158591,0,                       0,158489
199,158490,0,                       0,158590,158590,0,                       0,158490
200,158491,0,                       0,158589,158589,0,                       0,158491
201,158492,0,                       0,158588,158588,0,                       0,158492
202,158493,0,                       0,158587,158587,0,                       0,158493
203,158494,0,                       0,158586,158586,0,                       0,158494
204,158495,0,                       0,158585,158585,0,                       0,158495
205,158496,0,                       0,158584,158584,0,                       0,158496
206,158497,0,                       0,158583,158583,0,                       0,158497
207,158498,0,                       0,158582,158582,0,                       0,158498
208,158499,0,                       0,158581,158581,0,                       0,158499
209,158500,0,                       0,158580,158580,0,                       0,158500
210,158501,0,                       0,158579,158579,0,                       0,158501
211,158502,0,                       0,158578,158578,0,                       0,158502
212,158503,0,                       0,158577,158577,0,                       0,158503
213,158504,0,                       0,158576,158576,0,                       0,158504
214,158505,0,                       0,158575,158575,0,                       0,158505
215,158506,0,                       0,158574,158574,0,                       0,158506
216,158507,0,                       0,158573,158573,0,                       0,158507
217,158508,0,                       0,158572,158572,0,                       0,158508
218,158509,0,                       0,158571,158571,0,                       0,158509
219,158510,0,                       0,158570,158570,0,                       0,158510
220,158511,0,                       0,158569,158569,0,                       0,158511
221,158512,0,                       0,158568,158568,0,                       0,158512
222,158513,0,                       0,158567,158567,0,                       0,158513
223,158514,0,                       0,158566,158566,0,                       0,158514
224,158515,0,                       0,158565,158565,0,                       0,158515
225,158516,0,                       0,158564,158564,0,                       0,158516
226,158517,0,                       0,158563,158563,0,                       0,158517
227,158518,0,                       0,158562,158562,0,                       0,158518
228,158519,0,                       0,158561,158561,0,                       0,158519
229,158520,0,                       0,158560,158560,0,                       0,158520
230,158521,0,                       0,158559,158559,0,                       0,158521
231,158522,0,                       0,158558,158558,0,                       0,158522
232,158523,0,                       0,158557,158557,0,                       0,158523
233,158524,0,                       0,158556,158556,0,                       0,158524
234,158525,0,                       0,158555,158555,0,                       0,158525
235,158526,0,                       0,158554,158554,0,                       0,158526
236,158527,0,                       0,158553,158553,0,                       0,158527
237,158528,0,                       0,158552,158552,0,                       0,158528
238,158529,0,                       0,158551,158551,0,                       0,158529
239,158530,0,                       0,158550,158550,0,                       0,158530
240,158531,0,                       0,158549,158549,0,                       0,158531
241,158532,0,                       0,158548,158548,0,                       0,158532
242,158533,0,                       0,158547,158547,0,                       0,158533
243,158534,0,                       0,158546,158546,0,                       0,158534
