Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
18035,out,in,301224.05,301224.05,-47754868336.95
110696,out,in,301222.15,602446.20,-47754567114.80
93250,out,in,301220.25,903666.45,-47754265894.55
127771,out,in,301218.35,1204884.80,-47753964676.20
4,out,in,301216.45,1506101.25,-47753663459.75
11,out,in,301214.55,1807315.80,-47753362245.20
35,out,in,301213.65,2108529.45,-47753061031.55
39,out,in,301212.75,2409742.20,-47752759818.80
